evidence_id,relative_path,sha256,use
EVIDENCE-01,unitronics-ground-truth-preanalysis/61602e128acb__52.07.13.7/components.csv,ceb955de9591e718011203da25a6b2552cad8f89cf8e66ae24c216f837cea528,component linkage
EVIDENCE-02,unitronics-source-package-analysis/61602e128acb__52.07.13.7/packages.csv,30e016f31ea84dc0189af4f43b30996c692a7af44e53efc8e83ca3c3a812c050,exact package payload/source evidence
EVIDENCE-03,unitronics-product-runtime-rulebook/61602e128acb__52.07.13.7/rulebook.md,e9d17b39d4bb4757d3e487cdf71ef4ea5d96c736e52ff356e7b3e64e0de0eb2a,runtime rulebook
EVIDENCE-04,unitronics-product-runtime-rulebook/61602e128acb__52.07.13.7/representative_cases.csv,c288ba83a18ede5baa7f7e590d4a818ae8669efa428933d275dbf831ed2d8672,fixed runtime decisions
EVIDENCE-05,unitronics-version-normalization-rulebook/61602e128acb__52.07.13.7/rulebook.md,13cc27708351a9e159466f4c3535487b529e56ea6dc87d9b65c19bb10e4046bf,normalization rulebook
EVIDENCE-06,unitronics-version-normalization-rulebook/61602e128acb__52.07.13.7/representative_cases.csv,9a93555398828287a5db684e401c536ff504957908493f4a3d060d14656c025a,fixed normalization decisions
EVIDENCE-07,unitronics-cpe-mapping-decision-dry-run/61602e128acb__52.07.13.7/rulebook.md,6864a036a62d5c4970fa0c0ef607c2dc49dad1d82cfd0b56e8738da9cb6889cd,CPE mapping rulebook
EVIDENCE-08,unitronics-cpe-mapping-decision-dry-run/61602e128acb__52.07.13.7/representative_cases.csv,c2007297022d610c56a46dad9c364078609575927b5690c9370b949cb46bdaa9,fixed mapping decisions/family bindings
EVIDENCE-09,cpe-mapping-rulebook-boundary-tests/20260819T035002Z__20260820T110357Z/summary.json,3ed9439830840df662f728bf19f80a93d002d342f942c98c3265be995fba53db,boundary helper validation
