component_id,name,observed_version,original_cpe,source,source_name,description,payload_summary,actual_product,actual_vendor,actual_product_version,product_classification,product_reason,product_evidence,version_reason,version_evidence,cpe_family,cpe_family_binding_basis,cpe_resolution_path,active_exact_match,deprecated_match,deprecated_resolution,resolved_active_cpe,configuration_gate_passed,configuration_only_match,configuration_criteria,proposed_gt_cpe,proposed_decision,decision_reason,discrepancy_fields,evidence_strength,human_validation_required,human_validation_reason,exact_firmware_evidence
199876,libmodbus,7.13,cpe:2.3:a:libmodbus:libmodbus:7.13:*:*:*:*:*:*:*,package/libs/libmodbus,libmodbus,"A Modbus library for Linux, Mac OS X, FreeBSD, QNX and Win32.",files=2; exec=0; lib=2; plugin=0; kmod=0; paths=/usr/lib/libmodbus.so.5.1.0 | /usr/lib/libmodbus.so.5,libmodbus,upstream project,,UNRESOLVED,"Exact payload identifies software, but the upstream product boundary cannot be fixed reproducibly.","Source=package/libs/libmodbus; Description=A Modbus library for Linux, Mac OS X, FreeBSD, QNX and Win32.; paths=/usr/lib/libmodbus.so.5.1.0 | /usr/lib/libmodbus.so.5",PRODUCT_VERSION_BOUNDARY_UNRESOLVED,Observed package identifier 7.13 is retained but not promoted to an upstream product version.,,,UNRESOLVED,,,NOT_ENCOUNTERED,,false,false,,,UNRESOLVED,PRODUCT_BOUNDARY_OR_VERSION_UNRESOLVED,N/A,WEAK,true,UNRESOLVED | WEAK_EVIDENCE | PRODUCT_BOUNDARY_OR_VERSION_UNRESOLVED,control=/usr/lib/opkg/info/libmodbus.control; list=/usr/lib/opkg/info/libmodbus.list; status_version_matches=True
199883,libnl-core200,3.9.0-1,cpe:2.3:a:libnl-core200:libnl-core200:3.9.0-1:*:*:*:*:*:*:*,package/libs/libnl,libnl-core,Common code for all netlink libraries,files=2; exec=0; lib=2; plugin=0; kmod=0; paths=/usr/lib/libnl-3.so.200 | /usr/lib/libnl-3.so.200.26.0,libnl,libnl project,3.9.0,PRODUCT_IDENTITY_CONFIRMED,The exact package description and installed core executable/library identify the named upstream product; package role was not used as a hard gate.,Source=package/libs/libnl; Description=Common code for all netlink libraries; paths=/usr/lib/libnl-3.so.200 | /usr/lib/libnl-3.so.200.26.0; siblings=libnl-core200 | libnl-genl200,PRODUCT_SPECIFIC_UPSTREAM_VERSION_NORMALIZATION,Observed 3.9.0-1 was normalized to 3.9.0 using the exact package/source structure and product-specific official release evidence.,a:libnl_project:libnl,VERIFIED_UPSTREAM_TO_CPE_FAMILY,UNRESOLVED,,,NOT_ENCOUNTERED,,false,false,,,UNRESOLVED,STABLE_TEMPLATE_MULTIPLE_COMPATIBLE_TEMPLATES,N/A,MODERATE,true,UNRESOLVED,control=/usr/lib/opkg/info/libnl-core200.control; list=/usr/lib/opkg/info/libnl-core200.list; status_version_matches=True
199884,libnl-genl200,3.9.0-1,cpe:2.3:a:libnl-genl200:libnl-genl200:3.9.0-1:*:*:*:*:*:*:*,package/libs/libnl,libnl-genl,Generic Netlink Library Functions,files=2; exec=0; lib=2; plugin=0; kmod=0; paths=/usr/lib/libnl-genl-3.so.200 | /usr/lib/libnl-genl-3.so.200.26.0,libnl,libnl project,3.9.0,PRODUCT_IDENTITY_CONFIRMED,The exact package description and installed core executable/library identify the named upstream product; package role was not used as a hard gate.,Source=package/libs/libnl; Description=Generic Netlink Library Functions; paths=/usr/lib/libnl-genl-3.so.200 | /usr/lib/libnl-genl-3.so.200.26.0; siblings=libnl-core200 | libnl-genl200,PRODUCT_SPECIFIC_UPSTREAM_VERSION_NORMALIZATION,Observed 3.9.0-1 was normalized to 3.9.0 using the exact package/source structure and product-specific official release evidence.,a:libnl_project:libnl,VERIFIED_UPSTREAM_TO_CPE_FAMILY,UNRESOLVED,,,NOT_ENCOUNTERED,,false,false,,,UNRESOLVED,STABLE_TEMPLATE_MULTIPLE_COMPATIBLE_TEMPLATES,N/A,MODERATE,true,UNRESOLVED,control=/usr/lib/opkg/info/libnl-genl200.control; list=/usr/lib/opkg/info/libnl-genl200.list; status_version_matches=True
199991,shellinabox,2025-02-17-4,cpe:2.3:a:shellinabox:shellinabox:2025-02-17-4:*:*:*:*:*:*:*,package/teltonika/shellinabox,shellinabox,SSH over HTTP,files=4; exec=2; lib=0; plugin=0; kmod=0; paths=/usr/sbin/shellinaboxd | /www/cgi-bin/cli | /etc/init.d/shellinabox | /etc/config/cli,shellinabox,Teltonika/upstream,,UNRESOLVED,"Exact payload identifies software, but the upstream product boundary cannot be fixed reproducibly.",Source=package/teltonika/shellinabox; Description=SSH over HTTP; paths=/usr/sbin/shellinaboxd | /www/cgi-bin/cli | /etc/init.d/shellinabox | /etc/config/cli,PRODUCT_VERSION_BOUNDARY_UNRESOLVED,Observed package identifier 2025-02-17-4 is retained but not promoted to an upstream product version.,,,UNRESOLVED,,,NOT_ENCOUNTERED,,false,false,,,UNRESOLVED,PRODUCT_BOUNDARY_OR_VERSION_UNRESOLVED,N/A,WEAK,true,UNRESOLVED | WEAK_EVIDENCE | PRODUCT_BOUNDARY_OR_VERSION_UNRESOLVED,control=/usr/lib/opkg/info/shellinabox.control; list=/usr/lib/opkg/info/shellinabox.list; status_version_matches=True
200188,wpad-openssl,2023-09-08-e5ccbfc6-11,cpe:2.3:a:wpad-openssl:wpad-openssl:2023-09-08-e5ccbfc6-11:*:*:*:*:*:*:*,package/network/services/hostapd,wpad-openssl,"This package contains a full featured IEEE 802.1x/WPA/EAP/RADIUS
Authenticator and Supplicant",files=5; exec=3; lib=0; plugin=0; kmod=0; paths=/usr/sbin/wpad | /usr/sbin/hostapd | /usr/share/hostap/wpa_supplicant.uc | /usr/share/hostap/hostapd.uc,wpad openssl,upstream project,,UNRESOLVED,"Exact payload identifies software, but the upstream product boundary cannot be fixed reproducibly.","Source=package/network/services/hostapd; Description=This package contains a full featured IEEE 802.1x/WPA/EAP/RADIUS
Authenticator and Supplicant; paths=/usr/sbin/wpad | /usr/sbin/hostapd | /usr/share/hostap/wpa_supplicant.uc | /usr/share/hostap/hostapd.uc",PRODUCT_VERSION_BOUNDARY_UNRESOLVED,Observed package identifier 2023-09-08-e5ccbfc6-11 is retained but not promoted to an upstream product version.,,,UNRESOLVED,,,NOT_ENCOUNTERED,,false,false,,,UNRESOLVED,PRODUCT_BOUNDARY_OR_VERSION_UNRESOLVED,N/A,WEAK,true,UNRESOLVED | WEAK_EVIDENCE | PRODUCT_BOUNDARY_OR_VERSION_UNRESOLVED,control=/usr/lib/opkg/info/wpad-openssl.control; list=/usr/lib/opkg/info/wpad-openssl.list; status_version_matches=True
