source,package_count,packages,single_or_multi,source_name_values,version_values,cpe_id_values,cpe_id_package_count,cpe_id_consistency,product_candidate_count,direct_product_candidate_count,possible_product_candidate_count,partial_component_count,non_product_count,ambiguous_count,unresolved_count,role_distribution,main_package_candidate,has_main_product_like_package,has_library_split,has_utility_split,has_plugin_module_split,has_kernel_package,is_vendor_specific,source_structure_summary
package/teltonika/fmt-usb-msd,1,fmt-usb-msd,SINGLE_PACKAGE_SOURCE,fmt-usb-msd,2023-01-11,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""UTILITY_OR_CLI_PACKAGE"": 1}",,False,False,True,False,False,True,single installed package; utility=1
package/teltonika/gkeepalive,1,gkeepalive,SINGLE_PACKAGE_SOURCE,gkeepalive,2024-06-19-1,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""PRODUCT_OR_MAIN_PACKAGE"": 1}",gkeepalive,True,False,False,False,False,True,single installed package; main/product-like=1
package/teltonika/gps,5,avl | gpsctl | gpsd | libgps | ntp_gps,MULTI_PACKAGE_SOURCE,avl | gpsctl | gpsd | libgps | ntp_gps,2025-04-29-2,,0,NO_CPE_ID,0,0,0,5,0,0,0,"{""LIBRARY_PACKAGE"": 1, ""SPLIT_RUNTIME_PACKAGE"": 3, ""UTILITY_OR_CLI_PACKAGE"": 1}",,False,True,True,False,False,True,5 installed packages; library=1; utility=1
package/teltonika/gsm,4,gsmctl | gsmd | libgsm1.0 | liburc,MULTI_PACKAGE_SOURCE,gsmctl | gsmd | libgsm | liburc,f61d039a,,0,NO_CPE_ID,0,0,0,4,0,0,0,"{""LIBRARY_PACKAGE"": 2, ""SPLIT_RUNTIME_PACKAGE"": 1, ""UTILITY_OR_CLI_PACKAGE"": 1}",,False,True,True,False,False,True,4 installed packages; library=2; utility=1
package/teltonika/io_scheduler,1,io_scheduler,SINGLE_PACKAGE_SOURCE,io_scheduler,1.2,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""PRODUCT_OR_MAIN_PACKAGE"": 1}",io_scheduler,True,False,False,False,False,True,single installed package; main/product-like=1
package/teltonika/iomand,1,iomand1.0,SINGLE_PACKAGE_SOURCE,iomand,2.23.0,,0,NO_CPE_ID,0,0,0,0,0,0,1,"{""VENDOR_SPECIFIC_PACKAGE"": 1}",,False,False,False,False,False,True,single installed package
package/teltonika/ip_blockd,1,ip_blockd,SINGLE_PACKAGE_SOURCE,ip_blockd,2025-02-19-2,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""PRODUCT_OR_MAIN_PACKAGE"": 1}",ip_blockd,True,False,False,False,False,True,single installed package; main/product-like=1
package/teltonika/ledman,1,ledman-full,SINGLE_PACKAGE_SOURCE,ledman-full,2.22.5,,0,NO_CPE_ID,0,0,0,0,0,0,1,"{""VENDOR_SPECIFIC_PACKAGE"": 1}",,False,False,False,False,False,True,single installed package
package/teltonika/libs/ezopcua,1,ezopcua,SINGLE_PACKAGE_SOURCE,ezopcua,2025-05-09-1,,0,NO_CPE_ID,0,0,0,0,0,1,0,"{""LIBRARY_PACKAGE"": 1}",,False,True,False,False,False,True,single installed package; library=1
package/teltonika/libs/libapi,1,libapi20241125,SINGLE_PACKAGE_SOURCE,libapi,2024-11-25-1.2,,0,NO_CPE_ID,0,0,0,0,0,1,0,"{""LIBRARY_PACKAGE"": 1}",,False,True,False,False,False,True,single installed package; library=1
package/teltonika/libs/libboardjson,1,libboardjson,SINGLE_PACKAGE_SOURCE,libboardjson,7.13,,0,NO_CPE_ID,0,0,0,0,0,1,0,"{""LIBRARY_PACKAGE"": 1}",,False,True,False,False,False,True,single installed package; library=1
package/teltonika/libs/libcfg,1,libcfg20250129,SINGLE_PACKAGE_SOURCE,libcfg,2025-01-29-1.2,,0,NO_CPE_ID,0,0,0,0,0,1,0,"{""LIBRARY_PACKAGE"": 1}",,False,True,False,False,False,True,single installed package; library=1
package/teltonika/libs/libcfgx,1,libcfgx,SINGLE_PACKAGE_SOURCE,libcfgx,7.12,,0,NO_CPE_ID,0,0,0,0,0,1,0,"{""LIBRARY_PACKAGE"": 1}",,False,True,False,False,False,True,single installed package; library=1
package/teltonika/libs/liblog,1,liblog,SINGLE_PACKAGE_SOURCE,liblog,2024-09-30,,0,NO_CPE_ID,0,0,0,0,0,1,0,"{""LIBRARY_PACKAGE"": 1}",,False,True,False,False,False,True,single installed package; library=1
package/teltonika/libs/libnetifd,1,libnetifd,SINGLE_PACKAGE_SOURCE,libnetifd,2024-06-18-1,,0,NO_CPE_ID,0,0,0,0,0,1,0,"{""LIBRARY_PACKAGE"": 1}",,False,True,False,False,False,True,single installed package; library=1
package/teltonika/libs/libparam,1,libparam,SINGLE_PACKAGE_SOURCE,libparam,2025-02-14,,0,NO_CPE_ID,0,0,0,0,0,1,0,"{""LIBRARY_PACKAGE"": 1}",,False,True,False,False,False,True,single installed package; library=1
package/teltonika/libs/libtlt-logger,1,libtlt-logger,SINGLE_PACKAGE_SOURCE,libtlt-logger,2025-01-08-1,,0,NO_CPE_ID,0,0,0,0,0,1,0,"{""LIBRARY_PACKAGE"": 1}",,False,True,False,False,False,True,single installed package; library=1
package/teltonika/libs/libtlt_smtp,1,libtlt_smtp,SINGLE_PACKAGE_SOURCE,libtlt_smtp,1.8,,0,NO_CPE_ID,0,0,0,0,0,1,0,"{""LIBRARY_PACKAGE"": 1}",,False,True,False,False,False,True,single installed package; library=1
package/teltonika/libs/libtlt_termios,1,libtlt_termios1.0,SINGLE_PACKAGE_SOURCE,libtlt_termios,7.13,,0,NO_CPE_ID,0,0,0,0,0,1,0,"{""LIBRARY_PACKAGE"": 1}",,False,True,False,False,False,True,single installed package; library=1
package/teltonika/libs/libtlt_uci,1,libtlt_uci,SINGLE_PACKAGE_SOURCE,libtlt_uci,2025-02-20-1,,0,NO_CPE_ID,0,0,0,0,0,1,0,"{""LIBRARY_PACKAGE"": 1}",,False,True,False,False,False,True,single installed package; library=1
package/teltonika/libs/modems,1,modems,SINGLE_PACKAGE_SOURCE,modems,3.14,,0,NO_CPE_ID,0,0,0,0,1,0,0,"{""META_OR_HELPER_PACKAGE"": 1}",,False,False,False,False,False,True,single installed package; meta/helper=1
package/teltonika/macchina-gateway,1,macchina-gateway,SINGLE_PACKAGE_SOURCE,macchina-gateway,0.0.1a,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""PRODUCT_OR_MAIN_PACKAGE"": 1}",macchina-gateway,True,False,False,False,False,True,single installed package; main/product-like=1
package/teltonika/macchina-sdk,1,macchina_sdk,SINGLE_PACKAGE_SOURCE,macchina_sdk,0.0.1a,,0,NO_CPE_ID,0,0,0,0,1,0,0,"{""META_OR_HELPER_PACKAGE"": 1}",,False,False,False,False,False,True,single installed package; meta/helper=1
