cpe_name_id,raw_cpe,version,update,status,deprecated,deprecated_by,attribute_pattern,prerelease_token_location,prerelease_token,same_version_generic_update_cpe
7d515eb8-8191-4a8e-a4c1-ea5b2cbb3cb3,cpe:2.3:a:w1.fi:wpa_supplicant:0.4.2:*:*:*:*:*:*:*,0.4.2,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
5c5022cf-f43e-48cc-b2ef-b503fa616429,cpe:2.3:a:w1.fi:wpa_supplicant:0.4.3:*:*:*:*:*:*:*,0.4.3,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
e7b43f08-cf88-4d1a-938a-180337ef67dc,cpe:2.3:a:w1.fi:wpa_supplicant:0.4.4:*:*:*:*:*:*:*,0.4.4,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
3ccae8ee-8a08-4807-a29a-e5b17e9569db,cpe:2.3:a:w1.fi:wpa_supplicant:0.4.5:*:*:*:*:*:*:*,0.4.5,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
b99fe7ff-85e7-45ea-be3a-ed6410686c5e,cpe:2.3:a:w1.fi:wpa_supplicant:0.4.6:*:*:*:*:*:*:*,0.4.6,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
66123a6d-5978-4f96-bcc2-6d0010b888a9,cpe:2.3:a:w1.fi:wpa_supplicant:0.4.7:*:*:*:*:*:*:*,0.4.7,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
47d6ecc3-ec26-49cf-8a2f-2d990b2b3a52,cpe:2.3:a:w1.fi:wpa_supplicant:0.4.8:*:*:*:*:*:*:*,0.4.8,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
0fc3f3fb-4fb3-4af4-ad93-b43fdd28676d,cpe:2.3:a:w1.fi:wpa_supplicant:0.4.9:*:*:*:*:*:*:*,0.4.9,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
6e19dc47-9225-4fd4-8bd6-48aa99110c79,cpe:2.3:a:w1.fi:wpa_supplicant:0.5.0:*:*:*:*:*:*:*,0.5.0,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
2eec2ab7-0f23-4b90-9f80-542806cbb43e,cpe:2.3:a:w1.fi:wpa_supplicant:0.5.1:*:*:*:*:*:*:*,0.5.1,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
57f5b718-8e89-491a-a138-ca4b83e45d49,cpe:2.3:a:w1.fi:wpa_supplicant:0.5.10:*:*:*:*:*:*:*,0.5.10,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
aaaa7783-622b-4016-9b1b-c46ae536a811,cpe:2.3:a:w1.fi:wpa_supplicant:0.5.11:*:*:*:*:*:*:*,0.5.11,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
97ff077e-af7c-4e7c-8a74-a5b01e99370f,cpe:2.3:a:w1.fi:wpa_supplicant:0.5.2:*:*:*:*:*:*:*,0.5.2,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
ca5f8fec-7b6f-492c-8a50-5c6d6b5e9168,cpe:2.3:a:w1.fi:wpa_supplicant:0.5.3:*:*:*:*:*:*:*,0.5.3,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
130c0dc5-de92-4014-a7be-913867132905,cpe:2.3:a:w1.fi:wpa_supplicant:0.5.4:*:*:*:*:*:*:*,0.5.4,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
ffef4a0c-76a9-4ce8-8ce2-07d37b9e91d0,cpe:2.3:a:w1.fi:wpa_supplicant:0.5.5:*:*:*:*:*:*:*,0.5.5,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
6130a67c-17d2-4810-897a-f5bc8f3cc6f2,cpe:2.3:a:w1.fi:wpa_supplicant:0.5.6:*:*:*:*:*:*:*,0.5.6,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
7b769e9d-38ce-4368-a425-d1a3bf3a453d,cpe:2.3:a:w1.fi:wpa_supplicant:0.5.7:*:*:*:*:*:*:*,0.5.7,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
2531bafc-8e2d-4f19-9f8e-221d3fa0628e,cpe:2.3:a:w1.fi:wpa_supplicant:0.5.8:*:*:*:*:*:*:*,0.5.8,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
99fb9d86-e684-498c-a279-e84f5edbd7ae,cpe:2.3:a:w1.fi:wpa_supplicant:0.5.9:*:*:*:*:*:*:*,0.5.9,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
29cdaba7-38a0-4076-8ad2-5e38efbbf79f,cpe:2.3:a:w1.fi:wpa_supplicant:0.6.0:*:*:*:*:*:*:*,0.6.0,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
2258be06-dbef-450d-92d9-f38e69fe2a8c,cpe:2.3:a:w1.fi:wpa_supplicant:0.6.1:*:*:*:*:*:*:*,0.6.1,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
cc95cf20-aec7-42d9-861f-9d1d9a1c6f05,cpe:2.3:a:w1.fi:wpa_supplicant:0.6.10:*:*:*:*:*:*:*,0.6.10,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
34fb5ee4-3af6-4874-9f9d-879d195b59f6,cpe:2.3:a:w1.fi:wpa_supplicant:0.6.2:*:*:*:*:*:*:*,0.6.2,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
51216922-ea8e-4c20-9bd0-ae7b7348a570,cpe:2.3:a:w1.fi:wpa_supplicant:0.6.3:*:*:*:*:*:*:*,0.6.3,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
d680bbfe-d2ca-48c8-b34f-a9e202887a18,cpe:2.3:a:w1.fi:wpa_supplicant:0.6.4:*:*:*:*:*:*:*,0.6.4,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
474ee3f3-a08d-4c84-87a3-92de21a3cf2c,cpe:2.3:a:w1.fi:wpa_supplicant:0.6.5:*:*:*:*:*:*:*,0.6.5,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
02954247-3d6e-4060-92d3-7aefb7242e50,cpe:2.3:a:w1.fi:wpa_supplicant:0.6.6:*:*:*:*:*:*:*,0.6.6,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
7b9d5e01-0a22-48c3-ba91-6742c6a98d56,cpe:2.3:a:w1.fi:wpa_supplicant:0.6.7:*:*:*:*:*:*:*,0.6.7,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
8aecd669-4de5-446f-893a-67b0d8e85ba1,cpe:2.3:a:w1.fi:wpa_supplicant:0.6.8:*:*:*:*:*:*:*,0.6.8,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
4673cedf-0589-48d5-aab8-5df237ba2db5,cpe:2.3:a:w1.fi:wpa_supplicant:0.6.9:*:*:*:*:*:*:*,0.6.9,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
0b602e7a-4eed-4403-bbab-19063b085f72,cpe:2.3:a:w1.fi:wpa_supplicant:0.7.0:*:*:*:*:*:*:*,0.7.0,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
